Date,portfolio_value,est_horizon_ret,est_horizon_std,turnover_cost,status,top3,top3_w1,top3_w2,top3_w3
2024-07-01,0.9983268191465792,0.32070532638706084,0.12877428441686142,0.0016731808534208535,HiGHS_OPTIMAL,"AAPL,NVDA,LLY",0.2,0.2,0.2
2024-10-01,1.0262921996564498,0.24689555935505314,0.12573216824766142,0.0018378295554008054,HiGHS_OPTIMAL,"WMT,NEE,PLTR",0.2,0.2,0.2
2025-01-02,1.2369558034993704,0.34839486790342555,0.22231831496931925,0.0012312098113124652,HiGHS_OPTIMAL,"AVGO,WMT,TSLA",0.2,0.2,0.2
2025-04-01,1.085280187576219,0.14901093172607374,0.12245593050750488,0.0017392310698336843,HiGHS_OPTIMAL,"BRK-B,KO,ABT",0.2,0.2,0.2
2025-07-01,1.2222821533626518,0.17159193921380003,0.15630463832711522,0.0012594730141439671,HiGHS_OPTIMAL,"ORCL,IBM,PLTR",0.2,0.2,0.2
