Date,AAPL,ABT,ADBE,AMAT,AMD,AMGN,AMZN,ASML,AVGO,BAC,BLK,BRK-B,COST,CRM,DIS,ENPH,FSLR,GE,GOOGL,GS,HD,IBM,JPM,KO,LLY,MA,MCD,META,MRK,MS,MSFT,NEE,NKE,NOW,NVDA,ORCL,PANW,PEP,PFE,PG,PLTR,SAP,SNOW,TMO,TSLA,TSM,UNH,V,WFC,WMT
2024-04-01,168.8177032470703,108.85619354248047,502.0899963378906,205.770751953125,183.33999633789062,270.07025146484375,180.97000122070312,979.1604614257812,133.08197021484375,36.40106964111328,803.8303833007812,420.20001220703125,715.3893432617188,300.0258483886719,119.92681121826172,118.29000091552734,171.8699951171875,138.57418823242188,154.56304931640625,400.4346618652344,356.88287353515625,181.21453857421875,192.37640380859375,58.501895904541016,752.4420776367188,474.3020935058594,270.4886474609375,489.1875915527344,125.95828247070312,89.18443298339844,419.8907165527344,60.678428649902344,89.79771423339844,768.3699951171875,90.32704162597656,123.4326400756836,139.7100067138672,165.59446716308594,25.16253089904785,154.68467712402344,22.860000610351562,191.86573791503906,160.52000427246094,575.1788330078125,175.22000122070312,139.0294952392578,478.59442138671875,275.2768859863281,55.6095085144043,59.04734420776367
2024-04-02,167.6361846923828,108.78821563720703,499.2099914550781,203.2268524169922,178.6999969482422,263.55322265625,180.69000244140625,953.284912109375,131.94854736328125,36.18762969970703,793.9328002929688,418.9200134277344,705.5299072265625,301.7529602050781,121.19979858398438,113.55000305175781,167.1699981689453,135.12635803222656,153.63858032226562,397.18084716796875,352.0052795410156,180.3076629638672,192.29905700683594,57.99092483520508,755.8157958984375,475.3232727050781,268.0947265625,495.1811218261719,125.34288024902344,88.40254211425781,416.7952575683594,60.199745178222656,88.23575592041016,757.0,89.4164047241211,122.31124114990234,136.6999969482422,164.12022399902344,25.008216857910156,154.675048828125,22.719999313354492,188.038818359375,156.19000244140625,569.31201171875,166.6300048828125,137.78158569335938,447.7501525878906,275.43511962890625,55.35853576660156,58.220680236816406
2024-04-03,168.44039916992188,108.06954956054688,497.010009765625,204.47909545898438,180.77000427246094,261.8452453613281,182.41000366210938,966.6565551757812,134.3583526611328,36.323455810546875,792.1925048828125,420.239990234375,699.9654541015625,302.4875183105469,117.41044616699219,118.5999984741211,166.72999572753906,144.18626403808594,153.99644470214844,400.9090881347656,348.9991149902344,182.23599243164062,191.75753784179688,57.682411193847656,767.7174682617188,473.3305358886719,265.97113037109375,504.5098876953125,124.91015625,88.67906951904297,415.816162109375,59.88380432128906,87.63426208496094,759.1599731445312,88.92859649658203,124.18024444580078,134.77000427246094,162.43536376953125,24.708660125732422,150.4172821044922,22.700000762939453,189.13502502441406,153.02000427246094,573.7345581054688,168.3800048828125,139.53062438964844,449.3138732910156,273.9710693359375,55.14617919921875,58.48639678955078
2024-04-04,167.6163330078125,106.9333267211914,487.1099853515625,200.5448760986328,165.8300018310547,255.80532836914062,180.0,940.1695556640625,129.8531494140625,35.81896209716797,770.1126098632812,415.32000732421875,699.1620483398438,291.96588134765625,115.54537963867188,120.77999877929688,171.4600067138672,145.93882751464844,149.63259887695312,393.4042053222656,346.84637451171875,179.4103240966797,190.29855346679688,57.17143630981445,759.891845703125,465.7460021972656,260.7104187011719,508.6715087890625,122.75621032714844,87.99252319335938,413.27447509765625,61.01350784301758,86.41187286376953,757.5499877929688,85.87081146240234,122.16368103027344,132.60000610351562,162.40664672851562,24.19124984741211,149.74301147460938,22.479999542236328,186.9719696044922,151.33999633789062,568.3657836914062,171.11000061035156,137.23133850097656,445.052734375,271.0430908203125,54.7118034362793,58.55528259277344
2024-04-05,168.37091064453125,107.99186706542969,485.1199951171875,204.9425048828125,170.4199981689453,257.58013916015625,185.07000732421875,965.9465942382812,132.0145721435547,36.0032958984375,775.4308471679688,418.6199951171875,707.9302978515625,299.67840576171875,116.818359375,112.2699966430664,174.60000610351562,154.76113891601562,151.5908660888672,395.1666259765625,347.0306396484375,180.5558624267578,192.04931640625,57.373897552490234,775.849853515625,473.06280517578125,257.428466796875,525.019287109375,123.07353210449219,88.1737060546875,420.83026123046875,61.4443244934082,86.18872833251953,783.5,87.97297668457031,122.86211395263672,134.5050048828125,161.91842651367188,24.200326919555664,150.36915588378906,22.959999084472656,187.7451934814453,153.86000061035156,577.180908203125,164.89999389648438,138.90174865722656,445.4045715332031,274.1492004394531,55.406803131103516,58.89972686767578
2024-04-08,167.2489776611328,107.33148956298828,484.2799987792969,206.1158447265625,169.89999389648438,256.8644714355469,185.19000244140625,969.0626831054688,131.68637084960938,36.38166427612305,781.031005859375,415.9700012207031,706.0357666015625,299.499755859375,115.80194854736328,115.23999786376953,179.22000122070312,154.9789581298828,153.92684936523438,397.55853271484375,351.08404541015625,181.20501708984375,193.0511474609375,57.14250946044922,769.0036010742188,475.4058532714844,258.2682800292969,516.96484375,121.69844818115234,88.87930297851562,419.9104919433594,62.0953483581543,87.31411743164062,785.5999755859375,87.09832763671875,122.3210678100586,134.2899932861328,162.33963012695312,24.127710342407227,150.3113555908203,23.0,187.55921936035156,154.86000061035156,576.5235595703125,172.97999572753906,140.306884765625,445.6586608886719,274.7625427246094,55.78325653076172,58.830833435058594
2024-04-09,168.4602508544922,109.19609832763672,492.54998779296875,207.46670532226562,170.77999877929688,257.9713134765625,185.6699981689453,976.083740234375,131.48728942871094,36.604801177978516,781.5948486328125,414.69000244140625,712.7608642578125,300.135009765625,116.41377258300781,121.9800033569336,184.6999969482422,152.9689483642578,155.6664276123047,397.7231140136719,350.4731140136719,180.71815490722656,191.75753784179688,57.57636260986328,749.1672973632812,468.7639465332031,260.08294677734375,514.625244140625,121.84269714355469,89.70890045166016,421.5818786621094,62.593177795410156,88.2842788696289,782.219970703125,85.32002258300781,121.61054992675781,139.56500244140625,163.32566833496094,24.30925750732422,150.90859985351562,22.809999465942383,183.898681640625,155.5800018310547,586.8826293945312,176.8800048828125,142.8715057373047,449.2943420410156,273.73370361328125,55.58054733276367,58.84067916870117
2024-04-10,166.58372497558594,107.96271514892578,487.2200012207031,206.3229217529297,167.13999938964844,254.240478515625,185.9499969482422,961.0751953125,130.3331298828125,35.5570182800293,761.9067993164062,409.1099853515625,716.7184448242188,297.4053649902344,115.6440658569336,119.5999984741211,185.2899932861328,155.0680694580078,155.2091522216797,388.0877685546875,339.9420166015625,177.59657287597656,190.12347412109375,56.805076599121094,753.8567504882812,465.7954406738281,259.3397521972656,517.5423583984375,121.88115692138672,87.39179992675781,418.59515380859375,61.281578063964844,86.34395599365234,769.1900024414062,87.00436401367188,120.1500015258789,140.5,161.7365264892578,23.89169692993164,151.4673309326172,22.420000076293945,180.306640625,152.97000122070312,571.45361328125,171.75999450683594,143.67724609375,439.8435974121094,271.5179443359375,54.962772369384766,59.65749740600586
2024-04-11,173.79197692871094,108.23465728759766,484.2799987792969,210.00074768066406,170.5,257.6278076171875,189.0500030517578,978.401123046875,136.25559997558594,35.265960693359375,764.1527099609375,407.6099853515625,726.4091796875,296.9388427734375,115.6045913696289,121.69999694824219,184.44000244140625,156.1275177001953,158.45968627929688,384.9114685058594,336.8486633300781,177.46290588378906,190.08456420898438,56.9304084777832,751.492431640625,464.9416198730469,259.29144287109375,520.857666015625,121.30421447753906,82.8052749633789,423.2136535644531,61.21455764770508,89.25442504882812,771.3400268554688,90.57994079589844,121.62041473388672,141.92999267578125,161.17173767089844,23.90985107421875,150.1186981201172,22.84000015258789,181.725830078125,159.35000610351562,572.3101806640625,174.60000610351562,144.6402130126953,431.7025451660156,272.7049255371094,54.72145080566406,59.13591384887695
2024-04-12,175.2912139892578,106.4876708984375,474.0899963378906,204.95237731933594,163.27999877929688,255.03245544433594,186.1300048828125,948.4825439453125,132.4718780517578,34.72266387939453,742.2186889648438,403.260009765625,725.3776245117188,292.1445617675781,112.50601959228516,117.0199966430664,182.47999572753906,153.3799285888672,156.78965759277344,377.1741027832031,332.48492431640625,173.99766540527344,177.79029846191406,56.188045501708984,743.6270751953125,462.03271484375,258.10418701171875,509.64715576171875,120.90995788574219,82.18547821044922,417.2501525878906,60.391212463378906,89.25442504882812,768.7100219726562,88.1509017944336,119.51840209960938,139.53500366210938,160.9228515625,23.474140167236328,149.62741088867188,22.670000076293945,176.93971252441406,158.55999755859375,563.0068969726562,171.0500030517578,140.04159545898438,429.23968505859375,272.98187255859375,54.50909423828125,59.18511962890625
2024-04-15,171.45872497558594,106.27296447753906,470.1000061035156,202.8028564453125,160.32000732421875,253.34356689453125,183.6199951171875,941.56005859375,129.1819610595703,34.877891540527344,741.8200073242188,400.260009765625,712.4534301757812,270.8828430175781,111.45999145507812,112.47000122070312,175.9600067138672,152.45742797851562,153.93678283691406,388.2039794921875,327.694580078125,173.02395629882812,177.8875732421875,56.05307388305664,742.766357421875,456.4829406738281,256.9844665527344,498.028564453125,121.3426742553711,82.94830322265625,409.0812072753906,60.075279235839844,90.32160186767578,735.8099975585938,85.9667739868164,118.30457305908203,136.0749969482422,159.8219451904297,23.51952362060547,149.74301147460938,21.899999618530273,176.40139770507812,151.97999572753906,555.6759033203125,161.47999572753906,137.7029571533203,435.5238952636719,268.3524475097656,54.99173355102539,58.97845458984375
2024-04-16,168.17233276367188,106.58527374267578,476.2200012207031,206.54969787597656,163.4600067138672,253.4676513671875,183.32000732421875,963.3530883789062,130.99252319335938,33.6457633972168,728.8695678710938,396.9200134277344,710.1620483398438,275.3595275878906,112.37772369384766,110.47000122070312,173.0800018310547,155.49269104003906,153.4795379638672,384.31109619140625,324.6884765625,175.41049194335938,175.854736328125,55.975948333740234,738.7793579101562,456.5126953125,256.21221923828125,497.5605773925781,120.25606536865234,84.99840545654297,410.01080322265625,59.07003402709961,90.60295104980469,744.780029296875,87.3802261352539,119.03485870361328,137.50999450683594,160.3484344482422,23.319822311401367,150.2246551513672,21.8799991607666,176.72438049316406,150.3000030517578,552.3688354492188,157.11000061035156,137.368896484375,458.25634765625,268.4216613769531,54.451175689697266,58.88988494873047
2024-04-17,166.8021697998047,103.35482788085938,474.45001220703125,197.09385681152344,154.02000427246094,251.9695587158203,181.27999877929688,895.0056762695312,126.41635131835938,34.17936325073242,732.8751831054688,397.739990234375,709.3883666992188,274.277587890625,111.45013427734375,112.05000305175781,178.00999450683594,154.41151428222656,154.54315185546875,391.1381530761719,322.7490539550781,174.7899932861328,175.15443420410156,56.409786224365234,742.766357421875,456.8502502441406,260.57525634765625,491.9952087402344,120.5541763305664,85.89474487304688,407.3010559082031,61.07094955444336,92.0096664428711,736.4500122070312,84.0015640258789,117.11046600341797,138.6649932861328,162.243896484375,23.074731826782227,151.19760131835938,21.309999465942383,176.1175537109375,148.8000030517578,545.09765625,155.4499969482422,136.61227416992188,468.1273193359375,269.7472229003906,55.19443893432617,58.702903747558594
2024-04-18,165.8489990234375,102.7399673461914,473.17999267578125,191.60179138183594,155.0800018310547,250.71002197265625,179.22000122070312,876.6836547851562,124.08638763427734,34.7032585144043,726.5653076171875,399.8900146484375,705.4803466796875,269.9101257324219,110.94685363769531,109.16999816894531,174.2899932861328,151.70358276367188,155.07992553710938,390.3634338378906,322.8072509765625,173.23397827148438,176.29241943359375,56.795433044433594,737.9977416992188,451.4295349121094,261.56951904296875,499.59161376953125,120.41954803466797,86.06636810302734,399.8144836425781,61.281578063964844,92.8828125,731.3599853515625,84.6373062133789,114.47554779052734,140.57000732421875,164.91481018066406,23.04749870300293,152.49380493164062,21.1299991607666,174.84515380859375,148.41000366210938,539.39013671875,149.92999267578125,129.9698486328125,481.9954833984375,268.44146728515625,56.70026779174805,58.319091796875
2024-04-19,163.82357788085938,104.70166015625,465.0199890136719,187.1154022216797,146.63999938964844,256.6068420410156,174.6300048828125,847.603271484375,118.73653411865234,35.86747360229492,729.1709594726562,405.0799865722656,703.75439453125,268.37152099609375,111.12448120117188,106.4800033569336,175.0399932861328,146.863037109375,153.17138671875,391.225341796875,325.2024230957031,173.33897399902344,180.7179718017578,58.01020431518555,718.567138671875,452.1145935058594,262.5444030761719,478.9528503417969,120.94841766357422,86.44779968261719,394.7212219238281,61.55921173095703,91.70892333984375,713.9099731445312,76.16968536376953,113.37027740478516,138.85499572753906,166.6953887939453,23.601221084594727,153.31790161132812,20.469999313354492,172.03614807128906,145.4499969482422,542.6373901367188,147.0500030517578,125.47930145263672,489.7652282714844,266.8686218261719,58.25436019897461,58.58480453491211
2024-04-22,164.65756225585938,104.4967041015625,466.8900146484375,186.80975341796875,148.63999938964844,259.4502258300781,177.22999572753906,859.939453125,120.68309020996094,36.604801177978516,739.0198974609375,408.7799987792969,709.65625,271.7861328125,110.51265716552734,110.51000213623047,176.27999877929688,148.97581481933594,155.3483123779297,404.1531982421875,325.9297180175781,173.64447021484375,184.22923278808594,58.37656784057617,723.5335693359375,453.4647521972656,266.0097351074219,479.6099548339844,122.06385803222656,87.81134796142578,396.5409240722656,62.52615737915039,91.37908172607422,721.9500122070312,79.48635864257812,113.02487182617188,140.83999633789062,168.9259033203125,23.83723258972168,155.64471435546875,20.969999313354492,174.3949432373047,147.2100067138672,546.2232055664062,142.0500030517578,127.49365234375,480.0897216796875,269.39105224609375,58.97831344604492,59.18511962890625
2024-04-23,165.70999145507812,105.00420379638672,472.8999938964844,190.53688049316406,152.27000427246094,261.005615234375,179.5399932861328,889.049560546875,123.12049865722656,37.2257194519043,745.3492431640625,408.739990234375,716.817626953125,274.6349182128906,112.20996856689453,113.4800033569336,180.10000610351562,161.30531311035156,157.31651306152344,410.5928955078125,328.7322082519531,173.9213104248047,186.8845672607422,58.46333312988281,737.740478515625,459.4911193847656,267.2646484375,493.9167175292969,122.00616455078125,89.40376281738281,403.0780944824219,63.37822341918945,91.2141342163086,740.9500122070312,82.39020538330078,113.5775146484375,146.7449951171875,163.90960693359375,23.89169692993164,156.575439453125,21.639999389648438,184.01611328125,151.1699981689453,572.3301391601562,144.67999267578125,131.10968017578125,475.1542053222656,271.1518859863281,58.82387924194336,58.151790618896484
2024-04-24,167.8148956298828,104.32102966308594,477.1199951171875,193.3174285888672,151.74000549316406,260.4999084472656,176.58999633789062,879.927978515625,123.87251281738281,37.17721176147461,741.63525390625,405.95001220703125,718.0177612304688,274.1485595703125,112.41719818115234,107.16999816894531,177.47999572753906,157.903076171875,158.1813507080078,409.6632385253906,322.9236145019531,175.74461364746094,187.79884338378906,59.34067153930664,724.394287109375,459.1734313964844,267.1391296386719,491.3281555175781,122.1215591430664,89.48957824707031,404.5516357421875,63.722869873046875,91.81563568115234,746.2899780273438,79.64529418945312,113.82422637939453,146.91000366210938,169.83535766601562,23.846311569213867,157.6418914794922,21.59000015258789,184.07485961914062,154.99000549316406,575.1190795898438,162.1300048828125,130.6576690673828,476.24884033203125,272.05206298828125,58.49567413330078,58.919410705566406
